Timestamp,Currency,,Annual total compensation,Annual gross base pay,Signing bonus,Value of bonus,Value of initial stock,Value of additional stock,Negotiated or not,Job type,Job title,Name of company,Publicly-traded or privately-held,Industry,Location,Cumulative work experience,Time under employer,Time in current position,Education level,Major/Concentration,,,Age,Gender,Ethnicity,Country,Cost of living
12/3/2018 15:48:41,US Dollar (USD),Salary,200.0,134.0,30.0,16.0,40.0,46.5,Yes,Full-time,SE2,Microsoft,Privately-held,All sorts,Mostly in office (some remote allowed),72.0,20.0,20.0,Master's Degree,Computer Science,Other,,31.0,Male,White,USA,High cost of living
12/4/2018 1:26:29,US Dollar (USD),Salary,139.0,106.0,66.0,,65.0,,No,Full-time,Software Development Engineer,,Publicly-traded,,Mostly in office (some remote allowed),24.0,7.0,4.0,Bachelor's (4-year) Degree,Computer Science,Other,,23.0,Male,Asian,USA,Medium cost of living
12/5/2018 12:42:51,US Dollar (USD),Salary,178.0,115.0,65.0,23.0,160.0,,No,Full-time,Software Engineer,Facebook,Publicly-traded,,Mostly in office (some remote allowed),0.0,0.0,0.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,Computer Science,21.0,Other,White,United States,High cost of living
12/5/2018 17:46:07,US Dollar (USD),Salary,230.0,135.0,10.0,0.0,550.0,,No,Full-time,Corporate Analyst,,Publicly-traded,,Fully on-site position (never or almost-never remote),27.0,27.0,27.0,Master's Degree,International Relations,Other,,,,,,High cost of living
12/5/2018 18:47:27,US Dollar (USD),Salary,176.0,156.0,10.0,16.0,0.0,,Yes,Full-time,Software Engineer,,Privately-held,,Mostly in office (some remote allowed),24.0,24.0,12.0,Bachelor's (4-year) Degree,CS,Other,,25.0,Male,White,,High cost of living
12/6/2018 0:42:10,US Dollar (USD),Salary,73.0,70.5,5.5,2.5,0.0,0.0,Yes,Full-time,Software Engineer,Direct Supply,Privately-held,Healthcare,Fully on-site position (never or almost-never remote),60.0,60.0,20.0,Bachelor's (4-year) Degree,Software Engineering,Pursuing Master's Degree,,23.0,Male,White,United States,Low cost of living
12/6/2018 2:35:54,US Dollar (USD),Salary,162.0,120.0,15.0,18.0,100.0,,No,Full-time,Site Reliability Engineer,Google,Publicly-traded,,Mostly in office (some remote allowed),36.0,3.0,3.0,Bachelor's (4-year) Degree,CSCI,Other,,22.0,Female,White,USA,High cost of living
12/6/2018 20:09:23,US Dollar (USD),Salary,174.0,120.0,10.0,24.0,,30.0,No,Full-time,Software Engineer,,Privately-held,Finance (prop trading),Fully on-site position (never or almost-never remote),54.0,54.0,54.0,Bachelor's (4-year) Degree,Computer Science,Other,,27.0,Male,White,USA,Medium cost of living
12/6/2018 21:41:04,US Dollar (USD),Salary,87.0,82.0,0.0,4.0,0.0,0.0,Yes,Full-time,Software Engineer ,Boeing,Publicly-traded,Aerospace ,Fully on-site position (never or almost-never remote),6.0,48.0,6.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,Computer Science,33.0,Male,White,USA,Medium cost of living
12/7/2018 0:17:32,US Dollar (USD),Salary,150.0,105.0,,3.0,250.0,,Yes,Full-time,Software Engineer,An A-round startup,Privately-held,Network Infrastructure Software,Mostly in office (some remote allowed),48.0,24.0,24.0,Bachelor's (4-year) Degree,Computer Science,Other,,27.0,Male,White,United States,Medium cost of living
12/7/2018 15:29:48,US Dollar (USD),Hourly,40.0,40.0,,,,,No,Full-time,Technical support specialist,WellSky,Privately-held,Medical Technologies,Mostly in office (some remote allowed),48.0,12.0,12.0,Bachelor's (4-year) Degree,Computer Science,Other,,26.0,Male,White,USA,High cost of living
12/7/2018 19:19:22,US Dollar (USD),Salary,180.0,120.0,15.0,18.0,100.0,,No,Full-time,Software Engineer,Google,Publicly-traded,Search,Fully on-site position (never or almost-never remote),36.0,3.0,3.0,Bachelor's (4-year) Degree,Computer Science Engineering,Other,,21.0,Male,Black,USA,High cost of living
12/7/2018 23:50:53,US Dollar (USD),Salary,105.0,105.0,0.0,0.0,0.0,0.0,No,Full-time,Software Engineer,,Privately-held,Healthcare,Mostly Remote (sometimes in the office),48.0,46.0,46.0,Bachelor's (4-year) Degree,Software Engineering,Pursuing Master's Degree,,26.0,Female,Black,United States,High cost of living
12/10/2018 0:03:50,US Dollar (USD),Salary,0.0,50.0,0.0,0.0,0.0,0.0,No,Full-time,Web Developer,,Privately-held,Utilities,Fully on-site position (never or almost-never remote),10.0,10.0,10.0,Bachelor's (4-year) Degree,biology,Pursuing Technical/Vocational Certification,,34.0,Male,White,usa,Low cost of living
12/10/2018 11:53:54,US Dollar (USD),Salary,170.0,125.0,20.0,14.0,100.0,,No,Full-time,Software Engineer,Google,Publicly-traded,Tech,Fully on-site position (never or almost-never remote),2.0,0.0,0.0,Master's Degree,Computer Science,Other,,24.0,Male,Asian,USA,High cost of living
12/11/2018 14:52:30,US Dollar (USD),Hourly,260.0,260.0,0.0,,,,Yes,Contractor (primarily one employer),"Sr. Developer, Applications IT",,Publicly-traded,Healthcare,Fully remote,48.0,30.0,9.0,Some college/university (did not graduate),General Education (High School Diploma,Other,,28.0,Female,"White, Asian",United States,Medium cost of living
12/11/2018 18:55:41,US Dollar (USD),Salary,85.0,74.0,2.0,2.0,,,Yes,Full-time,Software engineer,,Privately-held,Space,Fully on-site position (never or almost-never remote),28.0,8.0,8.0,Bachelor's (4-year) Degree,Computer Engineering,Other,,24.0,Male,White,United States,Medium cost of living
12/12/2018 2:14:57,US Dollar (USD),Salary,55.0,50.0,0.0,5.0,0.0,0.0,No,Full-time,Software Dev 1,Central Square Technologies,Privately-held,Government Service Software,Fully on-site position (never or almost-never remote),6.0,6.0,6.0,Bachelor's (4-year) Degree,Computer Engineering,Other,,,Male,White,United States,Medium cost of living
12/15/2018 23:07:04,US Dollar (USD),Salary,180.0,120.0,20.0,,50.0,,Yes,Full-time,SE-1,Intuit,,Finance,Mostly in office (some remote allowed),0.0,8.0,8.0,Master's Degree,CS,Pursuing Doctorate Degree,CS,24.0,,Asian,USA,High cost of living
12/16/2018 22:24:40,US Dollar (USD),Hourly,50.0,50.0,,,,,No,Intern,Co-op intern,Emerson Automation ,Publicly-traded,Industry manufacturing ,Mostly in office (some remote allowed),0.0,0.0,0.0,Some college/university (did not graduate),Bs comp sci,Pursuing Bachelor's (4-year) Degree,,21.0,Male,White,Usa,Medium cost of living
12/18/2018 2:22:44,US Dollar (USD),Salary,202.832,177.0,,27.0,,,No,Full-time,Lead Software Engineer,,Privately-held,Product Engineering,Mostly in office (some remote allowed),108.0,20.0,20.0,Bachelor's (4-year) Degree,Computer Science,Other,,32.0,Male,Black,USA,High cost of living
12/18/2018 12:26:35,US Dollar (USD),Salary,70.0,70.0,,,,,No,Full-time,Software Engineer,Leidos,Publicly-traded,Defense,Other,30.0,30.0,24.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,,26.0,Male,White,US,Medium cost of living
12/18/2018 16:43:09,US Dollar (USD),Salary,95.0,95.0,,,,,No,Full-time,Software developer,,Privately-held,Health,Fully on-site position (never or almost-never remote),6.0,6.0,6.0,Bachelor's (4-year) Degree,Computer science,Other,,22.0,Male,White,USA,Medium cost of living
12/18/2018 22:18:37,US Dollar (USD),Salary,96.0,90.0,,,,,Yes,Full-time,Senior Software Engineer,,Privately-held,,Fully on-site position (never or almost-never remote),94.0,3.0,3.0,Bachelor's (4-year) Degree,Computer Information Systems,Other,,31.0,Male,White,United States of America,Low cost of living
12/18/2018 23:43:35,US Dollar (USD),Salary,400.0,400.0,,,,,,Full-time,Engineer,,,,Fully remote,12.0,12.0,12.0,Some college/university (did not graduate),Philosophy,Other,,,,,,
12/19/2018 18:34:01,US Dollar (USD),Salary,107.0,95.0,,,12.0,,No,Full-time,Software Engineer,,Privately-held,Robotics,Fully on-site position (never or almost-never remote),10.0,0.0,0.0,Master's Degree,Comp Eng,Pursuing Master's Degree,Comp Eng,23.0,Male,White,US,Medium cost of living
12/20/2018 18:05:40,US Dollar (USD),Salary,74.9,70.0,0.0,4.9,,,Yes,Full-time,Applications Developer,,Publicly-traded,Insurance,Mostly in office (some remote allowed),12.0,12.0,0.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,Data Analytics,28.0,Male,White,USA,Low cost of living
12/20/2018 20:58:34,US Dollar (USD),Salary,135.0,95.0,0.0,10.0,0.0,6.0,Yes,Full-time,Sr Project Engineer,,Publicly-traded,Transportation,Mostly in office (some remote allowed),114.0,99.0,39.0,Master's Degree,Computer Science,Other,,31.0,Male,White,United States,Low cost of living
12/23/2018 21:58:21,US Dollar (USD),Hourly,0.0,0.0,0.0,0.0,0.0,0.0,No,Other,Unemployed,,Publicly-traded,,Other,0.0,0.0,0.0,Some college/university (did not graduate),General Studies,Pursuing Bachelor's (4-year) Degree,Computer Science,30.0,Male,White,United States,Low cost of living
12/24/2018 12:15:00,US Dollar (USD),Salary,135.0,100.0,35.0,,,,No,Full-time,Technology Analyst,Goldman Sachs,Publicly-traded,Finance,Mostly in office (some remote allowed),0.0,6.0,6.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,,23.0,Male,Asian,USA,High cost of living
12/27/2018 8:46:14,US Dollar (USD),Salary,54.0,54.0,,,,,No,Full-time,Consultant,Eagle Creek Software Services,Privately-held,,Fully on-site position (never or almost-never remote),84.0,24.0,12.0,Some college/university (did not graduate),Information Systems/Computer Science,Pursuing Associate's (2-year) Degree,,34.0,Male,White,United States,Low cost of living
12/30/2018 22:01:55,US Dollar (USD),Salary,78.0,75.0,0.0,3.0,0.0,0.0,No,Full-time,Software Developer,Powerserve,Privately-held,Consulting,Fully on-site position (never or almost-never remote),56.0,56.0,36.0,Bachelor's (4-year) Degree,Computer Science,Other,,42.0,Male,White,United States,Low cost of living
1/2/2019 18:03:30,US Dollar (USD),Salary,61.25,60.0,,,,,No,Full-time,Software Developer,,Privately-held,Agriculture,Fully on-site position (never or almost-never remote),84.0,84.0,84.0,Associate's (2-year) Degree,Computer Programmer,Other,,28.0,Male,"White, Native American or Alaskan Native",United States,Low cost of living
1/6/2019 22:52:25,US Dollar (USD),Salary,60.0,60.0,0.0,0.0,0.0,0.0,No,Full-time,Software Developer,,Privately-held,,Fully on-site position (never or almost-never remote),29.0,29.0,29.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,,25.0,Male,Asian,,Medium cost of living
1/8/2019 16:12:42,US Dollar (USD),Salary,90.0,80.0,0.0,5.0,0.0,0.0,No,Full-time,Junior Software Engineer,,Privately-held,,Mostly in office (some remote allowed),21.0,12.0,12.0,Bachelor's (4-year) Degree,Electrical and Computer Engineering,Pursuing Master's Degree,,,Male,White,USA,Medium cost of living
1/10/2019 14:08:42,US Dollar (USD),Salary,100.0,100.0,,,,,Yes,Full-time,Software Engineer,Nuvi,Privately-held,Social Media Marketing,"50-50 (half the time in the office, half the time not)",30.0,7.0,7.0,Some college/university (did not graduate),Computer Science,Pursuing Bachelor's (4-year) Degree,,25.0,Male,White,USA,Medium cost of living
1/10/2019 17:11:41,US Dollar (USD),Salary,125.0,125.0,,,,,Yes,Full-time,Principal Software Engineer,,Privately-held,,Mostly in office (some remote allowed),240.0,96.0,36.0,Some college/university (did not graduate),Physics,Other,,39.0,Male,White,US,Medium cost of living
1/10/2019 21:36:57,US Dollar (USD),Salary,140.0,125.0,0.0,15.0,,,Yes,Full-time,Manager,,Privately-held,Health ,Mostly in office (some remote allowed),50.0,4.0,4.0,Bachelor's (4-year) Degree,Computer Science,Other,,32.0,Male,White,USA,High cost of living
1/16/2019 9:11:52,US Dollar (USD),Salary,92.0,78.0,12.0,,,,Yes,Full-time,Software Engineer,The RND Group,Privately-held,Software,Mostly in office (some remote allowed),48.0,36.0,36.0,Bachelor's (4-year) Degree,Computer Engineering,Other,,33.0,Male,White,United States,Low cost of living
1/17/2019 12:12:56,US Dollar (USD),Salary,144.5,135.0,,9.5,,,No,Full-time,software engineer,,Privately-held,publishing,Mostly in office (some remote allowed),32.0,8.0,8.0,Bachelor's (4-year) Degree,electrical engineering,Other,,35.0,Female,White,US,High cost of living
1/17/2019 13:42:14,US Dollar (USD),Salary,128.0,108.0,13.0,13.0,30.0,,No,Full-time,Security Engineer,VMware,Publicly-traded,Cloud and Virtualization,Mostly in office (some remote allowed),6.0,0.0,0.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,,23.0,Female,White,United States,High cost of living
1/17/2019 14:58:00,US Dollar (USD),Salary,85.0,85.0,,,,,Yes,Full-time,Software Engineer,MST Solutions,Privately-held,Salesforce Consulting,Mostly in office (some remote allowed),36.0,0.0,0.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Technical/Vocational Certification,,25.0,Male,White,USA,Medium cost of living
1/17/2019 19:22:29,US Dollar (USD),Salary,80.0,70.0,,,,,No,Full-time,Engineer I,MSEI,Privately-held,Biomedical,Fully on-site position (never or almost-never remote),12.0,6.0,0.0,Bachelor's (4-year) Degree,Computer Engineer,Pursuing Bachelor's (4-year) Degree,Computer Engineer,24.0,Male,Asian,United States,Medium cost of living
1/21/2019 2:37:49,US Dollar (USD),Salary,72.0,72.0,0.0,0.0,0.0,0.0,No,Full-time,Programmer,,Publicly-traded,,Mostly in office (some remote allowed),6.0,6.0,6.0,Bachelor's (4-year) Degree,Electrical Engineering,Other,,30.0,Male,"White, Asian",,High cost of living
1/21/2019 15:12:20,US Dollar (USD),Hourly,110.0,110.0,0.0,,,,No,Full-time,frontend web developer,cb,Privately-held,education,Mostly in office (some remote allowed),18.0,3.0,3.0,Bachelor's (4-year) Degree,computer science,Other,,,Male,White,United States,High cost of living
1/22/2019 14:45:37,US Dollar (USD),Salary,77.0,70.0,,7.0,,,No,Full-time,Software Engineer,,Privately-held,Telephony ,Mostly in office (some remote allowed),6.0,6.0,6.0,Bachelor's (4-year) Degree,Biology,Pursuing Bachelor's (4-year) Degree,CS,25.0,Male,Black,USA,Low cost of living
1/23/2019 9:44:45,US Dollar (USD),Salary,68.0,68.0,0.0,0.0,,,No,Full-time,Associate Software Engineer,,Privately-held,IT Automation Software,Mostly in office (some remote allowed),6.0,6.0,2.0,Bachelor's (4-year) Degree,B.S. Computer Science,Other,,20.0,Male,White,USA,Medium cost of living
1/23/2019 20:21:52,US Dollar (USD),Salary,70.98,70.98,3.0,,,,No,Full-time,Software Associate,Lockheed Martin,Publicly-traded,Space,Fully on-site position (never or almost-never remote),36.0,0.0,0.0,Prefer Not to Respond,GED,Pursuing Bachelor's (4-year) Degree,Computer Science,22.0,Male,White,USA,Medium cost of living
1/24/2019 6:26:39,US Dollar (USD),Hourly,60.0,60.0,0.0,0.0,0.0,0.0,No,Full-time,Software Architect ,CrossOver,Publicly-traded,Software development ,Fully remote,240.0,108.0,36.0,Master's Degree,B+,Pursuing Master's Degree,,41.0,Male,Egypt ,Egypt ,Low cost of living
1/24/2019 14:48:18,US Dollar (USD),Salary,99.0,93.0,20.0,6.0,,,No,Full-time,Software Engineer II,,Publicly-traded,Defense,Fully on-site position (never or almost-never remote),33.0,3.0,3.0,Bachelor's (4-year) Degree,Computer Science,Other,,,Male,White,USA,Medium cost of living
1/24/2019 17:29:24,US Dollar (USD),Salary,178.0,120.0,15.0,18.0,100.0,0.0,No,Full-time,Software Engineer,Google,Publicly-traded,Internet Tools,Fully on-site position (never or almost-never remote),12.0,0.0,0.0,High school / GED,,Pursuing Bachelor's (4-year) Degree,Computer Engineering,21.0,Male,White,United States,High cost of living
1/25/2019 11:04:46,US Dollar (USD),Salary,84.0,77.7,0.0,7.7,0.0,0.0,No,Full-time,Software Engineer I,Cox Enterprises,Privately-held,Automotive,Mostly in office (some remote allowed),12.0,1.0,1.0,Bachelor's (4-year) Degree,Computer Engineering,Other,,28.0,Male,White,,Medium cost of living
1/27/2019 12:57:38,US Dollar (USD),Salary,70.0,70.0,,,,,Yes,Full-time,Software Engineer,,Privately-held,,Mostly Remote (sometimes in the office),18.0,18.0,15.0,Bachelor's (4-year) Degree, Mathematics,Other,,24.0,Male,White,USA,Medium cost of living
1/27/2019 19:18:20,US Dollar (USD),Salary,87.6,87.6,0.0,0.0,0.0,0.0,No,Full-time,Software Engineer,,Publicly-traded,Government Contractor,Fully on-site position (never or almost-never remote),78.0,78.0,78.0,Bachelor's (4-year) Degree,Computer Science,Other,,30.0,Male,White,United States,Medium cost of living
1/27/2019 22:42:43,US Dollar (USD),Salary,89.6,75.0,5.0,,,9.6,No,Full-time,Software Engineer I,Grainger,Publicly-traded,Industrial Supply Distribution,Mostly in office (some remote allowed),7.0,0.0,0.0,Not Applicable,Currently enrolled,Pursuing Bachelor's (4-year) Degree,Informatics,21.0,Male,Asian,USA,Medium cost of living
1/29/2019 8:27:15,US Dollar (USD),Salary,200.0,170.0,0.0,30.0,0.0,0.0,No,Full-time,Senior Software Developer,Bloomberg,Privately-held,Finance,Fully on-site position (never or almost-never remote),60.0,42.0,42.0,Doctorate Degree,Chemistry,Other,,31.0,Male,White,US,High cost of living
1/29/2019 14:20:42,US Dollar (USD),Hourly,70.5,69.0,,,,,No,Full-time,QA Automation Engineer,,Privately-held,,Fully on-site position (never or almost-never remote),96.0,84.0,84.0,Bachelor's (4-year) Degree,Computer Science,Other,,33.0,Male,White,,Medium cost of living
1/29/2019 22:59:16,US Dollar (USD),Salary,140.0,140.0,0.0,0.0,,,No,Full-time,Software Engineer,,Privately-held,,Mostly in office (some remote allowed),54.0,0.0,0.0,Technical/Vocational Certification,Computer Programming,Other,,30.0,Male,White,United States,High cost of living
2/4/2019 13:33:40,US Dollar (USD),Salary,153.0,130.0,0.0,10.0,0.0,3.0,No,Full-time,Senior Software Engineer,Capital One,Publicly-traded,Financial/Credit Cards,Mostly in office (some remote allowed),48.0,36.0,6.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Master's Degree,Computer Science,25.0,Male,White,USA,High cost of living
2/4/2019 21:10:15,US Dollar (USD),Salary,210.0,150.0,0.02,0.06,0.0,0.0,No,Full-time,Software Developer,Hudson River Trading,Privately-held,Finance,Fully on-site position (never or almost-never remote),30.0,18.0,18.0,Bachelor's (4-year) Degree,Computer Engineering,Other,,24.0,Male,Asian,USA,High cost of living
2/6/2019 0:43:07,US Dollar (USD),Salary,440.0,190.0,70.0,28.5,600.0,150.0,Yes,Full-time,Software Engineer,Facebook,Publicly-traded,Social,Mostly in office (some remote allowed),78.0,0.0,0.0,Some college/university (did not graduate),Computer Science,Other,,30.0,Male,Asian,United States,High cost of living
2/6/2019 20:50:50,US Dollar (USD),Salary,80.0,75.0,,,6.0,,Yes,Full-time,SRE,,Privately-held,Tech,Mostly in office (some remote allowed),36.0,60.0,60.0,Master's Degree,Cyber Security,Pursuing Master's Degree,,26.0,Female,White,,Medium cost of living
2/7/2019 2:37:19,US Dollar (USD),Salary,86.0,81.0,5.0,,,,Yes,Full-time,Implementation Consultant,General Electric,Publicly-traded,Aerospace,Mostly in office (some remote allowed),39.0,27.0,27.0,Bachelor's (4-year) Degree,Information Systems,Other,BS,24.0,Female,Asian,USA,Low cost of living
2/7/2019 3:22:54,US Dollar (USD),Salary,155.0,145.0,0.0,0.0,10.0,0.0,Yes,Full-time,Software Engineer,One Concern,Privately-held,Software,Mostly in office (some remote allowed),24.0,1.0,1.0,"Professional Degree (JD, MD, MBA, etc.)",Business,Other,,48.0,Female,White,USA,High cost of living
2/7/2019 12:58:49,US Dollar (USD),Salary,64.55,64.0,,0.5,,,No,Full-time,Software Developer III,,Privately-held,Education,Fully on-site position (never or almost-never remote),60.0,21.0,21.0,Bachelor's (4-year) Degree,Computer Science,Other,,27.0,Male,White,USA,Low cost of living
2/7/2019 22:00:35,US Dollar (USD),Salary,60.0,75.0,,,,,No,Full-time,business  analyst,,Publicly-traded,,Fully on-site position (never or almost-never remote),48.0,48.0,12.0,Bachelor's (4-year) Degree,Finance,Pursuing Bootcamp / Nano Degree,Full Stack Web Dev,27.0,Male,White,United States,Medium cost of living
2/9/2019 16:42:09,US Dollar (USD),Salary,70.0,65.0,,2.0,,,Yes,Full-time,Software Consultant,Robert Half Technology,Publicly-traded,Staffing,Mostly in office (some remote allowed),48.0,24.0,24.0,Technical/Vocational Certification,Software Engineering and Web Development,Other,,21.0,Male,White,United States,Low cost of living
2/9/2019 20:32:33,US Dollar (USD),Hourly,56.0,56.0,0.0,0.0,0.0,0.0,Yes,Intern,Media Tech Intern,NBCUniversal,Publicly-traded,Entertainment,Mostly in office (some remote allowed),36.0,9.0,9.0,Bachelor's (4-year) Degree,Computer Science,Pursuing Bachelor's (4-year) Degree,,20.0,Male,White,USA,High cost of living
2/11/2019 16:47:21,US Dollar (USD),Salary,100.0,90.0,,,,,No,Full-time,Senior Consultant,Booz allen,Publicly-traded,Consulting ,Mostly Remote (sometimes in the office),24.0,2.0,2.0,Bachelor's (4-year) Degree,Math,Pursuing Bachelor's (4-year) Degree,CS,25.0,Male,,USA,Medium cost of living
2/12/2019 15:29:07,US Dollar (USD),Salary,98.228,98.228,0.0,0.0,0.0,0.0,No,Full-time,Senior Software Engineer,Optum,Publicly-traded,Health Care,Mostly in office (some remote allowed),153.0,30.0,30.0,Bachelor's (4-year) Degree,Software Engineering,Other,,37.0,Male,White,United States,Prefer Not to Answer
2/14/2019 9:34:35,US Dollar (USD),Salary,110.0,110.0,,,,1.0,Yes,Full-time,Senior Software Developer,,Privately-held,Marketing / Communications,Fully remote,216.0,117.0,84.0,Bachelor's (4-year) Degree,BBA - Computer Information Systems,Other,,32.0,Male,White,United States,Medium cost of living
2/14/2019 17:09:35,US Dollar (USD),Salary,170.0,117.0,35.0,20.0,135.0,,Yes,Full-time,Software Developer,,Publicly-traded,Software,Fully on-site position (never or almost-never remote),3.0,1.0,1.0,Bachelor's (4-year) Degree,Physics,Other,,,,,,
2/15/2019 14:13:07,US Dollar (USD),Salary,115.5,105.0,5.0,0.0,0.0,0.0,Yes,Full-time,R&D Computer Scientist,Sandia National Labs,Privately-held,Government,Mostly in office (some remote allowed),24.0,6.0,6.0,Master's Degree,Data Science,Pursuing Doctorate Degree,Data Science,34.0,Male,"Asian, Hispanic/Latino",United States,Low cost of living
2/15/2019 20:59:46,US Dollar (USD),Hourly,64.48,64.48,0.0,0.0,0.0,0.0,No,Intern,Openshift Intern,Redhat,Privately-held,Cloud,Fully on-site position (never or almost-never remote),15.0,0.0,0.0,Bachelor's (4-year) Degree,Computer Engineering,Pursuing Master's Degree,Computer Science,23.0,Male,Asian,India,Low cost of living
2/17/2019 2:46:43,US Dollar (USD),Salary,350.0,178.0,100.0,27.0,600.0,,Yes,Full-time,SWE,Google,Publicly-traded,Tech,Fully on-site position (never or almost-never remote),24.0,0.0,0.0,Master's Degree,Computer Science,Other,,,Male,,,High cost of living
2/17/2019 13:01:36,US Dollar (USD),Salary,190.0,127.0,,12.7,80.0,,No,Full-time,Software Engineer,Servicenow,Publicly-traded,Enterprise cloud software,Mostly in office (some remote allowed),72.0,14.0,24.0,Master's Degree,Software Engineering,Pursuing Doctorate Degree,Software Engineering,30.0,Male,Asian,India,High cost of living
2/17/2019 17:13:54,US Dollar (USD),Salary,72.0,72.0,,6.0,,,Yes,Full-time,Front End Software Engineer,,Privately-held,,Mostly in office (some remote allowed),36.0,30.0,30.0,Bachelor's (4-year) Degree,Web Page Development,Other,,23.0,Male,Hispanic/Latino,United States,Low cost of living
2/17/2019 20:27:16,US Dollar (USD),Salary,90.0,87.6,,,,,No,Full-time,Software Developer II,,Privately-held,Manufacturing,Fully on-site position (never or almost-never remote),48.0,45.0,23.0,Bachelor's (4-year) Degree,Computer Science,Other,,,Male,White,United States,Medium cost of living
2/19/2019 13:47:13,US Dollar (USD),Salary,60.0,60.0,0.0,0.5,0.0,0.0,Yes,Full-time,IT Consultant,,Privately-held,Information Technology,Mostly Remote (sometimes in the office),120.0,12.0,12.0,Some college/university (did not graduate),Computer Science,Pursuing Bachelor's (4-year) Degree,,26.0,Male,White,USA,Low cost of living
2/20/2019 11:20:52,US Dollar (USD),Salary,56.0,56.0,,,,,No,Full-time,Sales Operations,,Privately-held,Telecom,Fully on-site position (never or almost-never remote),24.0,88.0,33.0,Some college/university (did not graduate),Web and Software Development,Pursuing Associate's (2-year) Degree,,,,,,Medium cost of living
